farmer_id,farmer_name,region,farm_size_acres,contract_start_date,experience_years,contact_number,bank_account
F0060,Yauvani Gulati,North Gujarat,37,2022-11-19,5,3688710215,GB11KENN9504174332065
F0061,Charan D’Alia,South Gujarat,41,2023-05-17,11,911036128266,GB55IMDU5318659711322
F0062,Mahika Bajaj,North Gujarat,5,2022-03-10,19,2601247844,GB44HDLI5484969209193
F0063,Frederick Arya,Saurashtra,3,2022-08-14,19,915657512468,GB14FLID0640208876812
F0064,Vincent Sidhu,Central Gujarat,7,2022-07-10,22,9032659917,GB20UBOH9260156069947
F0065,Elijah Palla,Saurashtra,43,2021-12-12,18,6604059967,GB13STFO7117707659171
F0066,Varsha Kant,Central Gujarat,5,2021-09-03,24,9846669046,GB07XJMP1097803204836
F0067,Rushil Bains,South Gujarat,30,2021-01-08,15,1247673295,GB81FPFA4774374999577
F0068,Kashish Mallick,Central Gujarat,19,2022-07-27,21,8307515807,GB67KPTY1145772378947
F0069,Ekbal Dhar,Central Gujarat,27,2022-09-21,19,4067906557,GB88XCVM9841476357234
F0070,Priya Mody,South Gujarat,45,2021-05-28,6,7956179354,GB28URSM2096230035523
F0071,Charles Kant,Central Gujarat,35,2023-06-10,14,8890581990,GB70ELAZ6410262232498
F0072,Rohan Kalita,North Gujarat,11,2023-06-27,11,3400575190,GB97NLWS4437195765659
F0073,Ronith Dani,Kutch,37,2021-06-11,21,3635572100,GB85TRMV8715162761360
F0074,Vrinda Deep,South Gujarat,15,2023-07-08,14,5824494914,GB25EHHV2790426705325
F0075,Advay Mani,Kutch,32,2023-09-19,11,918166488263,GB68HAIL3210792968314
F0076,Bishakha Grewal,South Gujarat,49,2022-06-22,9,7594732991,GB96SSGA5300917635418
F0077,Dalbir Koshy,South Gujarat,16,2023-12-06,16,912356861346,GB93RHRU7598863728479
F0078,Kavya Bhandari,Saurashtra,9,2022-12-17,22,497377013,GB35NOMA2060949452645
F0079,Nirja Shanker,Saurashtra,15,2021-07-21,21,914057786318,GB08FKKB7337230348294
F0080,Fitan Sundaram,Central Gujarat,24,2021-08-08,17,1670871874,GB56NDVS6655231025621
F0081,Watika Ray,Kutch,41,2022-03-05,18,914270739230,GB66CONI5388536887391
F0082,Jagrati Bhasin,South Gujarat,22,2024-01-07,23,917511289369,GB22OZZW6810862497630
F0083,Viraj Bedi,Central Gujarat,17,2023-06-05,7,917033967730,GB31EKLA4866876314626
F0084,Yatan Ahluwalia,North Gujarat,46,2022-06-22,5,1292566213,GB48DVAR5502911910353
F0085,Widisha Gala,South Gujarat,19,2024-05-06,14,914684030786,GB19BJGO5181212713656
F0086,Jeevika Sheth,North Gujarat,48,2022-04-30,22,3862655254,GB65JRMX5586723949808
F0087,Bishakha Ghosh,Central Gujarat,25,2022-10-17,23,5783597447,GB23FTAT0498690898156
F0088,Lavanya Khalsa,Saurashtra,27,2021-04-05,6,1959789960,GB24CBCL0092806735266
F0089,Zarna Raju,Central Gujarat,26,2023-03-15,23,912450805134,GB66IYGF4736061935648
F0090,Yashasvi Parmer,North Gujarat,46,2024-03-29,18,9383143964,GB55DEAB7283995583578
F0091,Wishi Bedi,South Gujarat,42,2023-03-09,9,4167679736,GB81RETM1066285130005
F0092,Vaishnavi Patil,Kutch,30,2023-10-01,15,6123967805,GB36OHXL8966229706526
F0093,Dhruv Bhakta,Central Gujarat,16,2023-10-05,23,8281225360,GB33QVRQ9437341958965
F0094,Yadavi Brahmbhatt,South Gujarat,46,2024-08-05,12,1763213360,GB96JRLG5065339652876
F0095,Brijesh Bala,Saurashtra,2,2023-01-20,9,681851832,GB75LXWE7897693697710
F0096,Jagdish Chandran,Saurashtra,26,2024-02-26,16,5736012822,GB71GZOF6607791664660
F0097,Anmol Guha,Saurashtra,8,2021-02-12,7,6248726563,GB49XHIP3527797140211
F0098,Ekta Walla,South Gujarat,10,2021-02-06,5,3160967278,GB64DTEM5172286717456
F0099,Tripti Dara,Central Gujarat,25,2023-04-21,13,1642398021,GB21KOKH3170139135393
F0100,Kashvi Verma,South Gujarat,2,2023-10-09,13,631898569,GB52CYHP8241896577006
F0101,Bishakha Baral,South Gujarat,45,2021-09-07,20,5211780239,GB84QDIX2313293702508
F0102,Bachittar Bawa,Kutch,9,2024-10-04,17,918708459264,GB88ASBH6951772825008
F0103,Frederick Deol,Kutch,25,2024-09-26,14,6963056554,GB47YVWL5894481009370
F0104,Sarthak Chana,Central Gujarat,12,2021-03-18,11,5864851510,GB19OXCB7464077863274
F0105,Bhavani Bora,Kutch,18,2021-09-07,12,919639178231,GB95YBRK1993899333390
F0106,Wakeeta Nadkarni,Saurashtra,9,2024-02-19,14,1879904508,GB39DAIT5851013460710
F0107,Arunima Wagle,Kutch,36,2022-03-29,19,7873665447,GB70IJOE8469438261708
F0108,Gavin Ram,Saurashtra,36,2021-03-19,8,714473982,GB68VRWU6366840698597
F0109,Gauri Mitra,Central Gujarat,34,2022-10-19,9,918841016190,GB40LYXE4388901402122
F0110,Siya Chand,South Gujarat,6,2021-10-19,16,913902918444,GB77LTNI9861998713855
F0111,Oliver Nagarajan,South Gujarat,43,2024-08-05,15,6958282221,GB07GIVW6467547485661
F0112,Ronith Mane,Kutch,40,2022-08-13,10,914716132740,GB27CGLA3445945682599
F0113,Girindra Menon,Saurashtra,42,2021-09-05,12,4289489719,GB13MWRA3522175950720
F0114,Chasmum Sunder,North Gujarat,29,2023-04-03,11,3746968370,GB06FVYU2339321506033
F0115,Mohini Sarna,North Gujarat,8,2022-06-24,20,911827421000,GB41OXRP3810221187329
F0116,Ekta Ahuja,North Gujarat,10,2021-07-10,4,3781611145,GB91YUKC5323131477662
F0117,Mohammed Nagarajan,South Gujarat,9,2020-12-11,7,7002896764,GB49VUKC1077069021070
F0118,Yashasvi Kannan,South Gujarat,13,2024-10-28,7,7191619099,GB46GXFL8606830278031
F0119,Charles Mukhopadhyay,Saurashtra,35,2023-11-17,8,287918829,GB75HGHW1975685865085
F0120,Madhavi Tata,Kutch,34,2020-12-10,21,3612944792,GB12SHUK9257852244795
F0121,Wakeeta Behl,North Gujarat,49,2023-11-07,10,6624881742,GB88QXJQ2030301230507
F0122,Gautam Mittal,Saurashtra,24,2022-03-20,18,9044691334,GB27EHVY0600749429980
F0123,Ranbir Tara,Saurashtra,25,2024-08-10,15,915114651697,GB22UPLO0581167805354
F0124,Zaitra Shenoy,Kutch,38,2022-10-07,3,5065269159,GB59PBYJ5072818221789
F0125,Yatan Dave,Saurashtra,36,2021-09-10,24,917271562093,GB27LQNJ2741307872480
F0126,Viraj Sachar,Kutch,45,2021-11-19,22,3146290020,GB39JHUO1521688105133
F0127,Chandran Dey,Central Gujarat,41,2024-02-28,19,2141957126,GB53SCLN0340506068247
F0128,Siddharth Dhar,Kutch,23,2024-03-14,9,918137572108,GB61UQMW5002329805931
F0129,Andrew Ram,North Gujarat,28,2022-04-20,15,910113105345,GB23TYYH5307361393490
F0130,Nathan Dara,North Gujarat,36,2021-11-24,6,1201194453,GB18ZQNM3360733630679
F0131,Dhriti Singhal,Kutch,2,2024-05-08,6,916065202083,GB90PJOX9826471208968
F0132,Amruta Butala,Central Gujarat,36,2022-04-05,8,912476872198,GB60PWMC9236844962137
F0133,Bachittar Dutta,Central Gujarat,38,2023-03-30,21,918815721368,GB23LLKV5425646822631
F0134,Charvi Chauhan,North Gujarat,48,2024-07-27,14,916218986818,GB12BWGN6494951310954
F0135,Laksh Bandi,Central Gujarat,15,2022-05-15,24,3113430636,GB78SRBB5411203039521
F0136,Upasna Rege,Saurashtra,4,2020-12-18,9,5610066233,GB39NZUW0449626022491
F0137,Darpan Kakar,South Gujarat,2,2024-11-28,12,3110830419,GB60KWMJ1121101293132
F0138,Aachal Kannan,Saurashtra,6,2024-10-03,21,914434073149,GB61AQMH4061432581084
F0139,Neel Dugar,North Gujarat,27,2021-11-26,9,8176805819,GB87YGIZ6025320910566
F0140,Ekaraj Pal,Central Gujarat,15,2024-07-05,5,8764450158,GB42AQEU0239936688910
F0141,Jagvi Ravel,Kutch,40,2022-04-27,15,9672544956,GB22BITI2794072615626
F0142,Yoshita Dutta,South Gujarat,28,2024-02-04,15,910659043866,GB81HGNF4158836615555
F0143,Luke Chaudry,Kutch,10,2022-05-13,20,914889951543,GB21JGOY1973317520274
F0144,Chakradev Pai,North Gujarat,16,2021-10-11,22,5340324986,GB50WVEM3879697485267
F0145,Manthan Gokhale,Central Gujarat,16,2023-08-18,10,8319276231,GB56APVF4248846496274
F0146,Chaitanya Mangat,Kutch,27,2023-09-18,11,1920332124,GB08NSUR4960011529537
F0147,Chavvi Bajwa,Kutch,43,2022-10-02,9,474057874,GB18DLTS6954339137533
F0148,Idika Parikh,South Gujarat,14,2023-08-28,3,919589655968,GB25PYGI0150268435881
F0149,Quincy Gill,South Gujarat,33,2023-02-13,5,3253909153,GB28ZTSI1461582740379
F0150,Naveen Gole,Central Gujarat,40,2022-06-13,15,7804345661,GB04KJPO1827898583551
F0151,Madhavi Misra,South Gujarat,33,2022-08-17,19,915235059055,GB36FHOZ8481450406803
F0152,Triveni Goswami,Kutch,5,2023-03-25,3,3327603042,GB65HRKQ4416702919962
F0153,Onveer Ravi,Kutch,31,2022-03-05,8,916653414096,GB66CXZE0701041326360
F0154,Ati Raj,North Gujarat,38,2023-09-25,23,919116627742,GB59KZPA7940071041630
F0155,Girish Dewan,Kutch,24,2024-10-14,8,7965644922,GB25LCDH4355963669020
F0156,Harish Bajwa,Central Gujarat,40,2021-07-18,14,9940261623,GB64BFVW9310335266341
F0157,Sai Ratti,Saurashtra,46,2022-07-28,15,3997382901,GB53UJGA0137251471415
F0158,Xiti Rajan,North Gujarat,16,2024-08-08,15,913427141706,GB55XEPN1787932363063
F0159,Yagnesh Sarma,North Gujarat,44,2022-10-14,17,6566215623,GB60CUOO8747916625609
F0160,Veer Dhingra,Central Gujarat,30,2021-04-14,23,7840550538,GB25OUPJ5311136680723
F0161,Isaiah Dara,Central Gujarat,37,2024-09-20,18,1611220632,GB45VADH9204671225822
F0162,Finn Wali,South Gujarat,14,2023-05-05,24,6978461837,GB86ZLEN8282490310750
F0163,Girish Wali,North Gujarat,33,2024-02-12,23,918198173435,GB42QUEG8481431851231
F0164,Nitara Dhawan,South Gujarat,8,2021-04-17,13,910878032685,GB07MGQO3705007285814
F0165,Meghana Grewal,Kutch,23,2020-12-17,7,8799301023,GB84JPSH0682543380707
F0166,Triveni Chakraborty,North Gujarat,29,2023-04-20,6,5390641207,GB19RAXX3577471292441
F0167,Gopal Dhaliwal,North Gujarat,3,2021-09-02,5,3499307580,GB41YFMT5719187642776
F0168,Lohit Sampath,Saurashtra,43,2021-07-19,21,3483454682,GB65CLQL5108504820127
F0169,Nirja Mangal,North Gujarat,46,2023-05-19,22,552549513,GB57XHMW6714960449070
F0170,Ganga Hans,Kutch,7,2023-03-17,20,916276862814,GB06MYRB3081895269152
F0171,Yadavi Lad,South Gujarat,29,2022-03-31,17,1154056978,GB46QGAT8726762708794
F0172,Oni Apte,South Gujarat,29,2022-10-07,11,9612119908,GB67SXJJ9066895242929
F0173,Tarak Mistry,Saurashtra,45,2024-04-16,19,918973947698,GB91YARB1343023445638
F0174,Ekalinga Swaminathan,Kutch,45,2024-10-27,16,913869795791,GB87UFZN4722720479056
F0175,Pavani Prakash,South Gujarat,21,2022-08-20,17,915482744442,GB70XPGT3275624522077
F0176,Sarthak Mangal,Central Gujarat,31,2022-02-15,3,2098082439,GB03BJEV2961991342061
F0177,Lakshmi Bora,Kutch,12,2022-08-30,23,8104057437,GB79SOJF5188228398699
F0178,Viraj Rajagopalan,Kutch,29,2024-10-25,24,5617381312,GB36MXEM1381243906783
F0179,Nihal Brahmbhatt,Saurashtra,26,2023-09-06,24,9969822161,GB27UIRJ6349877380630
F0180,Hredhaan Rattan,South Gujarat,40,2023-10-09,5,9104294726,GB26EYUR7856982181551
F0181,Orinder Shanker,Kutch,34,2020-12-19,18,2266377557,GB81UFET0100151075768
F0182,Waida Manne,South Gujarat,2,2022-09-14,13,2930389652,GB28IPRH9945312145240
F0183,Brijesh Sem,Central Gujarat,28,2022-05-29,14,5212695731,GB90JBJB2867207489553
F0184,Anay Gade,Saurashtra,14,2022-12-24,12,1576599930,GB75LADY5584363449325
F0185,Yuvraj Khurana,Central Gujarat,42,2024-08-16,18,918951967325,GB19QBBD5214166047728
F0186,Robert Bail,Saurashtra,4,2021-08-11,10,910164160742,GB49FJNU7700565808750
F0187,Balveer Anand,Kutch,40,2022-05-21,8,7459188182,GB35TAJL5692829175269
F0188,Yasti Sama,Saurashtra,7,2023-01-09,14,5762123251,GB02URDX6571797163243
F0189,Lekha Naidu,North Gujarat,9,2022-12-31,23,911388829069,GB31ILXK2506430501657
F0190,Pooja Saha,South Gujarat,28,2024-07-24,10,919739724053,GB15HDFD0421539326203
F0191,Saanvi Srinivas,South Gujarat,10,2022-05-14,6,5616839941,GB37HIZR1006523797324
F0192,Aayush Varma,North Gujarat,38,2021-06-18,10,9622040301,GB76UGTM5637815216421
F0193,Hritik Gulati,Central Gujarat,34,2023-07-19,20,2578139617,GB64RISC5538574859799
F0194,Aradhana Kohli,North Gujarat,43,2021-10-06,7,1603806623,GB76DVSW8056225545479
F0195,Ethan Lal,Kutch,45,2023-07-24,11,6446739385,GB70SEQE7847413964207
F0196,Radhika Natarajan,Kutch,25,2023-06-18,6,9942325374,GB03SHFZ3545900858523
F0197,Pooja Gara,South Gujarat,16,2024-03-27,24,8574276621,GB51RCVX2276740188782
F0198,Saumya Dugar,Kutch,33,2022-10-25,19,915148173192,GB78JZXE7424301176670
F0199,Jonathan Wali,South Gujarat,33,2024-09-01,11,5383290490,GB30MQTF6250479220763
F0200,Bakhshi Pandey,North Gujarat,25,2023-08-15,3,2820118945,GB95YNCF5745089844809
F0201,Arjun Merchant,North Gujarat,42,2022-10-15,23,669360865,GB13ELJX8151128200950
F0202,Varsha Sanghvi,North Gujarat,13,2024-06-15,22,911426748802,GB12OPFB5706122611435
F0203,Ria Kala,South Gujarat,40,2022-03-04,15,772873403,GB11OQSC9807671336569
F0204,Omisha Kumer,North Gujarat,3,2023-04-14,18,7345322789,GB21LKLP3692803897803
F0205,Mahika Chakrabarti,North Gujarat,4,2021-08-21,15,6788065094,GB34TQTG5802800456333
F0206,Krisha Date,Central Gujarat,38,2024-08-10,16,2726973032,GB34HSAG6702236317105
F0207,Qarin Narayanan,North Gujarat,18,2022-08-13,5,481300823,GB65QXFV4787852185849
F0208,Joshua Raghavan,Kutch,3,2022-08-19,8,66935581,GB09HRNV7669252838798
F0209,Yutika Sengupta,South Gujarat,3,2022-07-31,20,8052718119,GB15JOFN2022997656404
F0210,Mitesh Keer,Central Gujarat,29,2021-09-12,21,3450995639,GB92XJNP1441734955751
F0211,Arya Saraf,Saurashtra,24,2024-07-04,7,918937354622,GB34LWPS5076244393214
F0212,Garima Sehgal,South Gujarat,38,2023-07-23,17,1566772158,GB98BLQM1849601440394
F0213,Anirudh Kapur,Kutch,33,2023-06-13,4,911501318066,GB38ONYQ1294574961458
F0214,Gayathri Sagar,South Gujarat,34,2022-07-12,12,918288799250,GB92SSJI9450815781584
F0215,Chaitanya Dass,Kutch,2,2021-11-25,20,6420409660,GB33PYJZ5895743524982
F0216,Ekaraj Banerjee,Kutch,20,2024-07-27,15,912851691410,GB02HXVR5091268823475
F0217,Irya Venkatesh,Saurashtra,3,2024-07-01,7,8727750372,GB74RGVP1158339177423
F0218,Wahab Mahajan,South Gujarat,45,2022-03-26,3,913303182639,GB05ALLR1983246478692
F0219,Ladli Edwin,Saurashtra,27,2023-07-12,24,918003845733,GB09BKXG5561115489452
F0220,Gabriel Barman,Saurashtra,33,2023-01-07,3,3897573580,GB32KGXJ3321127899478
F0221,Vasudha Deep,South Gujarat,7,2023-02-27,20,913854918609,GB97WLLR8607048437794
F0222,Yadavi Murthy,North Gujarat,33,2024-02-19,17,8296776506,GB89MNGM0728345950205
F0223,Ishita Dugar,North Gujarat,5,2021-09-19,19,7131914455,GB14YHTT0903748609787
F0224,Manya Parmer,Saurashtra,12,2023-05-08,13,911316419872,GB09YNJK3378697236267
F0225,Hemani Kalita,Central Gujarat,18,2022-07-19,23,2493515995,GB85CCRL4086756015166
F0226,Ekavir Swamy,Saurashtra,39,2023-12-27,24,916029676745,GB74TLFT8204771483508
F0227,Nimrat Mall,Saurashtra,25,2024-09-22,19,916882029491,GB64FNFR2111859410858
F0228,Veda Sachar,Saurashtra,6,2022-02-13,15,3225503156,GB19RKVH9549440749392
F0229,Warda Shere,North Gujarat,35,2022-09-29,3,7270104784,GB56POBP7273307171636
F0230,Daksh Sami,North Gujarat,7,2022-09-28,4,3526150373,GB41ZGAL8834246632005
F0231,Pallavi Sant,North Gujarat,23,2022-12-16,11,911943207972,GB79ALIA7216840016943
F0232,Nakul Chaudry,Saurashtra,12,2024-10-01,5,912320736451,GB43KRDR2571260492520
F0233,Vedika Chaudhry,Central Gujarat,49,2022-02-03,3,5523237813,GB68QEVG7302697078119
F0234,Yashasvi Oak,North Gujarat,17,2023-06-04,23,6710968805,GB20LEZN8520920272686
F0235,Oni Dayal,South Gujarat,34,2023-09-17,18,8220033835,GB75KHYT1960504802258
F0236,Lila Gopal,South Gujarat,10,2021-03-28,8,3302173327,GB29WDIW5316245603866
F0237,Fitan Dada,South Gujarat,7,2023-11-09,19,6198468342,GB78MGAB2890879399421
F0238,Amara Sastry,Kutch,17,2022-08-23,7,7196034215,GB44LIUS9437460367760
F0239,Farhan Natt,Saurashtra,30,2023-07-29,7,910545778822,GB21OPOW7533452736435
F0240,Aarav Ganesh,South Gujarat,4,2024-07-09,8,5675217632,GB28WAAO9632565107072
F0241,Praneel Ramaswamy,Saurashtra,21,2023-10-23,5,912421898348,GB92HULJ7608481489486
F0242,Ishwar Hans,South Gujarat,37,2021-01-13,23,913746613452,GB23SBRM7559922464799
F0243,Chakradhar Mishra,Central Gujarat,20,2022-12-23,7,913832285749,GB87YNOY9693403941202
F0244,Gabriel Gour,Saurashtra,27,2023-06-17,23,919506776436,GB72MZWY6815474045358
F0245,Darika Bansal,South Gujarat,4,2023-05-05,7,913002735348,GB08ZOVQ5835548289363
F0246,Ikshita Zachariah,North Gujarat,20,2022-04-24,12,9363903616,GB97AQDV4465953971092
F0247,Ridhi Peri,Saurashtra,21,2021-08-21,12,915374792151,GB95TWUC8121561208514
F0248,Daksha Biswas,Kutch,33,2021-03-14,21,7905511014,GB51PTFC3042444077645
F0249,Dipta Sehgal,North Gujarat,8,2024-10-16,19,7682978602,GB78IFNJ7744358599963
F0250,Chanakya Chatterjee,North Gujarat,42,2021-09-10,23,169771654,GB18WZIW5386954663088
F0251,Jeremiah Mukherjee,Kutch,34,2023-08-20,16,3538557179,GB63YMJN4809605280201
F0252,Mitesh Gokhale,North Gujarat,41,2022-05-11,11,913169300911,GB37YECM8035029579730
F0253,Abha Goel,North Gujarat,40,2022-08-01,16,3529087052,GB96TCLY0612210888595
F0254,Samesh Rege,South Gujarat,19,2022-11-12,3,8083479701,GB77NTPJ7920501600584
F0255,Keya Zacharia,South Gujarat,41,2022-09-29,21,9319089571,GB36KNAQ2341898137543
F0256,Hitesh Kalita,Saurashtra,2,2022-06-16,15,4156213334,GB63BTZI8852931625789
F0257,Onkar Chaudhari,Saurashtra,12,2023-11-16,15,4865868158,GB05GUWP3960263390900
F0258,Jackson Dani,Saurashtra,29,2024-05-12,6,3073433258,GB10XNDN9419562477353
F0259,Suhani Magar,South Gujarat,26,2022-06-01,3,7440641280,GB07FPUC5836418660462
F0260,Fariq Sha,Saurashtra,24,2022-08-05,19,2509928325,GB78UUEL8089146218168
F0261,Panini Andra,North Gujarat,32,2022-10-28,10,1852318342,GB85RHNP8312201374343
F0262,Vasatika Kannan,South Gujarat,31,2021-07-18,4,912074453862,GB49MJXI7036531488863
F0263,Krishna Dora,Saurashtra,43,2021-07-21,10,915193654139,GB24NMEY9119556604443
F0264,Agastya Pandit,North Gujarat,36,2023-03-31,9,1006660556,GB14DDPA7460463854522
F0265,Isaiah Palan,Saurashtra,8,2022-01-22,4,912747864141,GB77LTWM0052713833334
F0266,Nisha Bala,Central Gujarat,17,2023-11-22,24,915814954490,GB18XDDG7096383010937
F0267,Vihaan Kadakia,Saurashtra,27,2021-02-25,24,2701792624,GB54ANGP6699978868726
F0268,Farhan Lalla,Central Gujarat,49,2020-12-22,5,9276102796,GB20JBKG4787850463245
F0269,Harish Madan,Saurashtra,3,2022-03-24,20,3058434121,GB77NVCW4431560414127
F0270,Kamala Bahri,Kutch,2,2021-08-11,14,2732351406,GB23OAYB0088058595142
F0271,Noah De,Saurashtra,49,2024-05-09,3,321180955,GB05BWLQ5779261215040
F0272,Alexander Devan,South Gujarat,13,2024-07-23,24,911758198438,GB89TATK5368599713045
F0273,Maanas Samra,South Gujarat,6,2021-01-31,14,917679620115,GB85AVTN9604993319412
F0274,George Prashad,Central Gujarat,38,2023-03-12,7,2313941292,GB03FVII1664738649919
F0275,Aadi Divan,South Gujarat,33,2024-06-24,19,2986981861,GB21CZCR1634594446860
F0276,Rayaan Uppal,North Gujarat,10,2023-03-06,18,8524726805,GB09QLPO0561791986952
F0277,Champak Kannan,Kutch,42,2024-05-18,17,108251452,GB14UTZV2980304387315
F0278,Advay Bala,Kutch,36,2024-01-24,17,2105457880,GB58MVAA7248791220644
F0279,Tristan Borah,North Gujarat,20,2021-10-16,7,5229720279,GB41IPNV2069216093506
F0280,Maanas Ahuja,Central Gujarat,49,2022-10-19,23,2957365612,GB49IQNU5839153485519
F0281,Bhavani Garg,North Gujarat,17,2021-03-17,16,1057525369,GB76WZUH9822597358651
F0282,Krishna Gokhale,North Gujarat,4,2023-02-27,4,912818673505,GB39VAXM4758018336617
F0283,Qushi Dixit,Kutch,21,2021-08-19,13,912811134197,GB09NMAC5689986617695
F0284,Teerth Behl,Saurashtra,25,2022-04-04,21,913351268930,GB64LCSA3816768524693
