qc_id,batch_id,inspection_date,moisture_level,oil_content,defect_rate,brc_compliance_score,inspector_name,status
QC000077,PR20220107583,2022-01-07 08:00:00,76.1,6.3,4.11,86,Xavier Sane,Rejected
QC000080,PR20220107564,2022-01-07 08:00:00,79.5,7.0,4.59,99,Darpan Modi,Approved
QC000081,PR20220107123,2022-01-07 01:00:00,76.0,3.2,0.73,86,Yug Nanda,Approved
QC000083,PR20220107565,2022-01-07 05:00:00,74.1,6.1,2.01,91,Jacob Swamy,Approved
QC000087,PR20220108220,2022-01-08 01:00:00,73.3,7.3,4.93,87,Arin Mall,Approved
QC000088,PR20220108823,2022-01-08 06:00:00,72.1,3.4,2.75,91,Sathvik Agrawal,Approved
QC000094,PR20220108701,2022-01-08 07:00:00,74.7,6.9,3.44,90,Leena Lata,Approved
QC000096,PR20220108943,2022-01-08 04:00:00,72.5,5.7,2.01,87,Urvashi Bahri,Approved
QC000098,PR20220108898,2022-01-08 01:00:00,79.7,5.4,4.67,98,Akshay Panchal,Approved
QC000111,PR20220110480,2022-01-10 07:00:00,72.2,3.5,2.24,95,Abeer Thakur,Approved
QC000112,PR20220110926,2022-01-10 08:00:00,79.1,5.7,4.21,91,Anjali Chaudhari,Approved
QC000113,PR20220110290,2022-01-10 02:00:00,74.3,3.6,1.61,94,Kai Puri,Approved
QC000114,PR20220110861,2022-01-10 08:00:00,77.2,7.4,2.55,99,Harini Sem,Approved
QC000117,PR20220110796,2022-01-10 01:00:00,73.5,6.2,1.39,85,Shravya Bahri,Approved
QC000120,PR20220110930,2022-01-10 04:00:00,76.6,3.5,4.15,95,Bina Sidhu,Approved
QC000125,PR20220111924,2022-01-11 06:00:00,78.4,5.7,0.67,94,Quincy Srivastava,Approved
QC000131,PR20220111642,2022-01-11 04:00:00,74.2,3.7,2.86,100,Zashil Gara,Rejected
QC000132,PR20220111545,2022-01-11 01:00:00,72.8,7.3,4.33,100,Fitan Chakrabarti,Approved
QC000133,PR20220111298,2022-01-11 04:00:00,73.2,6.5,3.63,97,Meghana Purohit,Approved
QC000135,PR20220111410,2022-01-11 07:00:00,75.2,3.8,1.09,99,Finn Amble,Approved
QC000138,PR20220112821,2022-01-12 07:00:00,77.9,4.1,3.22,98,Panini Tandon,Approved
QC000141,PR20220112846,2022-01-12 02:00:00,78.9,6.0,4.88,93,Harish Kamdar,Approved
QC000142,PR20220112441,2022-01-12 05:00:00,77.2,4.6,4.34,93,Chatresh Mishra,Approved
QC000147,PR20220112798,2022-01-12 08:00:00,74.5,7.9,2.65,89,Faqid Verma,Approved
QC000148,PR20220113749,2022-01-13 06:00:00,79.6,3.9,0.55,95,Ansh Misra,Approved
QC000153,PR20220113877,2022-01-13 06:00:00,73.6,3.5,3.8,86,Rachit Ramesh,Approved
QC000155,PR20220113917,2022-01-13 07:00:00,74.1,6.2,3.51,85,Bhanumati Memon,Approved
QC000156,PR20220113132,2022-01-13 01:00:00,77.5,7.2,1.17,87,Sanya Bail,Approved
QC000161,PR20220114411,2022-01-14 04:00:00,72.4,3.1,0.97,92,Logan Madan,Approved
QC000162,PR20220114221,2022-01-14 03:00:00,75.0,7.8,2.09,85,Umang Viswanathan,Approved
QC000163,PR20220114132,2022-01-14 03:00:00,75.6,7.1,4.63,97,Anya Doctor,Approved
QC000164,PR20220114726,2022-01-14 06:00:00,79.8,7.1,2.76,88,Jonathan Saini,Approved
QC000166,PR20220114730,2022-01-14 02:00:00,73.8,6.0,1.39,95,Watika Pathak,Approved
QC000169,PR20220114172,2022-01-14 02:00:00,72.4,7.6,2.68,96,Sai Raman,Approved
QC000184,PR20220115777,2022-01-15 06:00:00,76.1,6.0,2.53,99,Ishita Bora,Approved
QC000186,PR20220115171,2022-01-15 03:00:00,75.6,7.6,4.17,89,Samesh Chad,Approved
QC000191,PR20220116913,2022-01-16 07:00:00,73.7,4.5,3.47,100,Baghyawati Bir,Approved
QC000198,PR20220116478,2022-01-16 02:00:00,76.6,6.8,3.77,99,Thomas Handa,Approved
QC000207,PR20220117615,2022-01-17 07:00:00,77.7,7.4,3.95,95,Kala Wali,Approved
QC000208,PR20220117440,2022-01-17 07:00:00,73.9,7.4,2.01,98,Yashvi Rattan,Approved
QC000211,PR20220118825,2022-01-18 06:00:00,79.3,7.1,0.83,87,Arya Gandhi,Approved
QC000213,PR20220118484,2022-01-18 01:00:00,78.2,5.5,4.9,90,Anthony Dugal,Approved
QC000214,PR20220118591,2022-01-18 05:00:00,75.7,3.3,1.82,90,Gopal Purohit,Approved
QC000222,PR20220119167,2022-01-19 07:00:00,75.4,6.0,1.18,87,Bina Sani,Approved
QC000226,PR20220119834,2022-01-19 07:00:00,76.1,5.4,4.26,92,Bina Nair,Approved
QC000237,PR20220120867,2022-01-20 02:00:00,74.4,5.2,2.25,89,Fitan Naik,Approved
QC000238,PR20220120369,2022-01-20 01:00:00,77.1,7.2,3.54,96,Oni Varughese,Approved
QC000241,PR20220120529,2022-01-20 04:00:00,75.7,6.2,1.95,97,Daksha Dasgupta,Approved
QC000243,PR20220121571,2022-01-21 04:00:00,73.2,4.6,2.5,87,Anika Mani,Approved
QC000246,PR20220121393,2022-01-21 01:00:00,75.5,6.7,4.71,99,Neha Walia,Approved
QC000248,PR20220121719,2022-01-21 06:00:00,75.1,3.4,0.65,89,Farhan Sahni,Approved
QC000250,PR20220121271,2022-01-21 06:00:00,72.0,7.7,4.98,90,Ijaya Gokhale,Approved
QC000252,PR20220121402,2022-01-21 02:00:00,72.4,4.8,3.51,94,Dakshesh Kaur,Approved
QC000254,PR20220121812,2022-01-21 06:00:00,73.4,6.0,4.16,94,Nimrat Narayanan,Approved
QC000259,PR20220122799,2022-01-22 04:00:00,78.9,6.5,0.87,87,Pooja Krishnamurthy,Approved
QC000261,PR20220122571,2022-01-22 07:00:00,74.8,7.8,1.37,86,Tamanna Gole,Approved
QC000262,PR20220122473,2022-01-22 06:00:00,75.6,4.7,1.42,94,Yahvi Bala,Approved
QC000265,PR20220123515,2022-01-23 02:00:00,74.6,3.9,4.45,89,Utkarsh Borah,Approved
QC000271,PR20220123502,2022-01-23 02:00:00,73.4,6.1,4.74,85,Daniel Johal,Approved
QC000273,PR20220124180,2022-01-24 08:00:00,79.6,6.0,1.72,98,Gautami Munshi,Approved
QC000274,PR20220124122,2022-01-24 04:00:00,74.0,6.7,4.91,85,Yamini Sachdeva,Approved
QC000276,PR20220124934,2022-01-24 02:00:00,72.6,6.9,1.05,100,Yadavi Bumb,Approved
QC000281,PR20220124494,2022-01-24 03:00:00,74.4,5.8,1.84,93,Bakhshi Dasgupta,Approved
QC000282,PR20220124766,2022-01-24 03:00:00,77.2,5.1,1.49,85,Neelima Muni,Approved
QC000289,PR20220125557,2022-01-25 08:00:00,76.2,3.1,3.83,96,Nitesh Kaul,Approved
QC000291,PR20220125856,2022-01-25 08:00:00,76.2,7.7,0.96,89,Ojasvi Sampath,Approved
QC000298,PR20220126292,2022-01-26 06:00:00,77.9,4.5,2.18,98,Yachana Mall,Approved
QC000300,PR20220126934,2022-01-26 01:00:00,74.8,4.8,2.44,86,Faris Doshi,Approved
QC000303,PR20220127846,2022-01-27 02:00:00,72.2,7.2,4.47,99,Caleb Hari,Approved
QC000309,PR20220128826,2022-01-28 04:00:00,72.3,6.9,0.83,87,Manan Sheth,Approved
QC000315,PR20220128101,2022-01-28 05:00:00,78.5,6.1,1.88,90,Jonathan Kar,Approved
QC000316,PR20220128900,2022-01-28 06:00:00,76.9,5.5,3.36,90,Bakhshi Dara,Approved
QC000317,PR20220128533,2022-01-28 01:00:00,75.8,6.9,0.7,94,Lohit Pau,Approved
QC000318,PR20220128135,2022-01-28 03:00:00,74.8,5.8,3.15,90,Harini Sahni,Approved
QC000319,PR20220128664,2022-01-28 08:00:00,73.4,3.4,0.59,97,Naveen Bal,Approved
QC000322,PR20220129114,2022-01-29 06:00:00,75.3,4.7,3.06,99,Pahal Nanda,Approved
QC000323,PR20220129202,2022-01-29 01:00:00,75.6,5.0,4.29,90,Xiti Parikh,Approved
QC000336,PR20220130644,2022-01-30 01:00:00,77.0,6.2,2.22,91,Nimrat Karpe,Approved
QC000340,PR20220130252,2022-01-30 07:00:00,78.2,3.8,2.31,100,Samarth Choudhary,Rejected
QC000347,PR20220131477,2022-01-31 08:00:00,72.4,3.6,0.87,90,Chameli Pal,Approved
QC000351,PR20220131706,2022-01-31 04:00:00,75.5,6.5,1.91,88,Lajita Murthy,Approved
QC000352,PR20220131660,2022-01-31 06:00:00,72.2,6.5,1.43,87,Teerth Mangat,Approved
QC000353,PR20220131588,2022-01-31 02:00:00,77.8,3.0,1.91,90,Champak Bajwa,Approved
QC000355,PR20220201737,2022-02-01 05:00:00,77.0,7.4,3.89,98,Gayathri Baria,Approved
QC000357,PR20220201349,2022-02-01 04:00:00,75.6,6.6,2.92,95,Geetika Subramaniam,Approved
QC000358,PR20220201644,2022-02-01 08:00:00,78.5,6.9,4.89,87,Divya Devan,Approved
QC000360,PR20220201175,2022-02-01 05:00:00,72.8,4.7,1.37,95,Harini Krish,Approved
QC000366,PR20220202745,2022-02-02 05:00:00,77.0,6.3,1.42,95,Ubika Sunder,Approved
QC000370,PR20220202170,2022-02-02 07:00:00,75.4,6.0,3.47,97,Avni Minhas,Approved
QC000371,PR20220202926,2022-02-02 01:00:00,72.8,7.6,0.65,85,Nikita Ramaswamy,Approved
QC000389,PR20220203728,2022-02-03 07:00:00,79.8,4.6,1.92,90,Hiral Zacharia,Approved
QC000390,PR20220203960,2022-02-03 05:00:00,75.6,6.5,1.22,97,Arin Mani,Approved
QC000395,PR20220204871,2022-02-04 01:00:00,74.0,7.8,4.45,86,Falak Venkataraman,Approved
QC000402,PR20220204978,2022-02-04 06:00:00,73.7,5.9,1.42,99,Jonathan Parekh,Approved
QC000403,PR20220205108,2022-02-05 02:00:00,76.4,4.8,2.13,90,Darika Swaminathan,Rejected
QC000411,PR20220205840,2022-02-05 05:00:00,77.1,4.3,2.32,85,Garima Aggarwal,Approved
QC000422,PR20220207786,2022-02-07 05:00:00,79.4,6.8,2.22,95,Arjun Bhandari,Approved
QC000423,PR20220207417,2022-02-07 04:00:00,73.8,6.3,4.13,89,Kashish Tella,Approved
QC000425,PR20220207408,2022-02-07 01:00:00,78.9,5.8,2.83,87,Kavya Jayaraman,Approved
QC000428,PR20220207910,2022-02-07 08:00:00,77.8,3.9,4.33,88,Azaan Walla,Rejected
QC000431,PR20220208392,2022-02-08 03:00:00,72.6,6.0,3.15,92,Bishakha Jaggi,Approved
QC000432,PR20220208138,2022-02-08 03:00:00,74.5,3.2,3.73,86,Ekansh Walla,Approved
QC000434,PR20220208267,2022-02-08 08:00:00,72.2,3.9,2.95,100,Naksh Ratti,Approved
QC000435,PR20220208532,2022-02-08 02:00:00,79.5,3.3,3.1,90,Xiti Walla,Approved
QC000436,PR20220208869,2022-02-08 05:00:00,74.6,6.3,4.79,96,Ekapad Choudhary,Approved
QC000437,PR20220208305,2022-02-08 07:00:00,74.1,7.8,4.42,99,Idika Dugal,Approved
QC000441,PR20220208302,2022-02-08 07:00:00,76.9,6.8,4.39,92,Sanaya Kunda,Approved
QC000446,PR20220209384,2022-02-09 08:00:00,78.4,4.6,4.16,93,Reva Saha,Approved
QC000452,PR20220209565,2022-02-09 08:00:00,74.5,7.3,1.65,90,Devansh Barad,Approved
QC000455,PR20220209573,2022-02-09 01:00:00,76.6,6.5,2.42,86,Shivani Dube,Approved
QC000457,PR20220210370,2022-02-10 07:00:00,78.3,7.6,1.34,94,Abhimanyu Kohli,Approved
QC000459,PR20220210744,2022-02-10 06:00:00,72.3,6.1,3.21,99,Damyanti Saha,Approved
QC000460,PR20220210284,2022-02-10 06:00:00,74.7,6.9,4.22,99,Vamakshi Oza,Approved
QC000461,PR20220210921,2022-02-10 04:00:00,74.7,6.4,3.39,96,Ronith Yogi,Approved
QC000465,PR20220210913,2022-02-10 07:00:00,74.7,7.8,2.06,94,Geetika Kapoor,Approved
QC000466,PR20220210188,2022-02-10 04:00:00,77.0,4.9,0.55,90,Falak Mand,Approved
QC000467,PR20220210625,2022-02-10 06:00:00,72.7,4.2,4.15,97,Harinakshi Golla,Approved
QC000469,PR20220211565,2022-02-11 04:00:00,75.5,5.9,4.75,89,Saksham Brahmbhatt,Approved
QC000470,PR20220211917,2022-02-11 05:00:00,73.2,7.3,2.21,98,Amrita Tank,Approved
QC000472,PR20220211811,2022-02-11 08:00:00,74.7,6.1,4.54,94,Oscar Sahota,Approved
QC000473,PR20220211852,2022-02-11 01:00:00,74.8,6.8,0.59,88,Onveer Baria,Approved
QC000476,PR20220211267,2022-02-11 08:00:00,77.0,6.2,3.0,85,Naveen Dugar,Approved
QC000477,PR20220211247,2022-02-11 02:00:00,79.5,7.7,2.04,95,Darsh Sethi,Approved
QC000481,PR20220212401,2022-02-12 03:00:00,75.7,7.0,4.3,100,Yahvi Khosla,Approved
QC000482,PR20220212614,2022-02-12 04:00:00,75.3,4.7,4.19,98,Pavani Bhagat,Approved
QC000484,PR20220212923,2022-02-12 01:00:00,75.0,5.0,1.11,94,Radha Shroff,Approved
QC000487,PR20220212608,2022-02-12 03:00:00,76.3,4.6,3.16,90,Sneha Kar,Approved
QC000488,PR20220212506,2022-02-12 02:00:00,75.6,6.7,1.75,99,Upadhriti Mohan,Approved
QC000490,PR20220212338,2022-02-12 02:00:00,73.4,6.5,2.23,87,Panini Sampath,Approved
QC000498,PR20220213511,2022-02-13 08:00:00,76.5,7.7,2.68,98,Aashi Dua,Approved
QC000505,PR20220213878,2022-02-13 03:00:00,73.2,5.1,2.65,98,Guneet Upadhyay,Approved
QC000508,PR20220214481,2022-02-14 04:00:00,78.1,4.0,2.06,90,Meghana Bajwa,Rejected
QC000511,PR20220214405,2022-02-14 02:00:00,72.4,6.5,3.85,89,Jatin Kumer,Approved
QC000519,PR20220215322,2022-02-15 04:00:00,75.7,5.7,3.87,88,Jackson Sathe,Approved
QC000525,PR20220215192,2022-02-15 07:00:00,74.1,6.0,4.84,100,Indrajit Dubey,Approved
QC000529,PR20220215120,2022-02-15 06:00:00,77.3,3.4,1.81,94,Ikshita Desai,Approved
QC000532,PR20220216652,2022-02-16 07:00:00,76.2,3.4,3.54,88,Amrita Sanghvi,Approved
QC000537,PR20220216775,2022-02-16 05:00:00,77.2,7.4,2.75,99,Kashish Sani,Approved
QC000548,PR20220217969,2022-02-17 03:00:00,77.5,3.9,0.51,96,Arjun Dani,Approved
QC000549,PR20220218572,2022-02-18 02:00:00,73.4,3.3,2.42,100,Bhavini Panchal,Approved
QC000551,PR20220218515,2022-02-18 07:00:00,75.7,6.2,1.13,93,Dev Das,Approved
QC000553,PR20220218945,2022-02-18 03:00:00,73.7,7.0,3.09,97,Hema Pandit,Approved
QC000554,PR20220218635,2022-02-18 02:00:00,72.2,7.2,3.33,89,Rushil Sethi,Approved
QC000555,PR20220218888,2022-02-18 08:00:00,73.5,4.3,2.99,95,Anthony Sharaf,Approved
QC000557,PR20220218615,2022-02-18 04:00:00,76.5,7.0,2.11,100,Udarsh Ghosh,Approved
QC000561,PR20220219477,2022-02-19 05:00:00,76.4,5.9,3.01,90,Amruta Soman,Approved
QC000564,PR20220219707,2022-02-19 02:00:00,72.6,5.1,2.02,93,Zehaan Pathak,Approved
QC000567,PR20220219239,2022-02-19 05:00:00,79.9,5.3,2.46,92,Chakradev Gera,Approved
QC000580,PR20220221925,2022-02-21 06:00:00,75.9,7.6,3.25,97,Leena Bassi,Approved
QC000582,PR20220221569,2022-02-21 01:00:00,75.1,7.6,4.68,97,Aarav Pathak,Approved
QC000584,PR20220221283,2022-02-21 03:00:00,74.1,5.0,4.85,100,Jagrati Loyal,Approved
QC000586,PR20220221998,2022-02-21 06:00:00,76.3,5.2,1.38,98,Dev Karnik,Approved
QC000588,PR20220221782,2022-02-21 05:00:00,75.1,6.2,0.67,85,Darpan Khalsa,Approved
QC000589,PR20220221368,2022-02-21 07:00:00,72.7,3.0,1.49,95,Elijah Bhatti,Approved
QC000592,PR20220222795,2022-02-22 04:00:00,73.5,7.3,1.33,97,Dipta Rattan,Approved
QC000594,PR20220222117,2022-02-22 03:00:00,77.3,3.6,3.17,92,Yochana Apte,Approved
QC000595,PR20220222671,2022-02-22 05:00:00,75.5,5.0,4.35,91,Wriddhish Dua,Approved
QC000596,PR20220222654,2022-02-22 07:00:00,73.3,6.0,4.2,85,Warhi Palla,Rejected
QC000598,PR20220222769,2022-02-22 07:00:00,77.7,7.9,0.51,90,Udyati Pandit,Approved
QC000599,PR20220222524,2022-02-22 04:00:00,79.1,6.1,0.51,99,Hemang Kala,Approved
QC000605,PR20220223486,2022-02-23 03:00:00,75.7,6.8,1.32,91,Neha Saini,Approved
QC000608,PR20220223975,2022-02-23 06:00:00,77.4,3.7,4.12,97,Janya Kulkarni,Approved
QC000612,PR20220223801,2022-02-23 07:00:00,76.5,3.2,0.91,100,Jacob Gera,Approved
QC000614,PR20220223968,2022-02-23 01:00:00,78.9,3.2,1.84,100,Qadim Sandal,Approved
QC000621,PR20220224849,2022-02-24 06:00:00,76.5,4.1,1.51,100,Aarna Kalita,Rejected
QC000622,PR20220224428,2022-02-24 07:00:00,78.2,4.5,0.67,92,Hemang Dani,Approved
QC000624,PR20220224797,2022-02-24 02:00:00,77.8,7.8,4.24,97,Manbir Malhotra,Approved
QC000627,PR20220224168,2022-02-24 05:00:00,76.4,5.1,4.66,91,Max Lalla,Approved
QC000628,PR20220224972,2022-02-24 06:00:00,78.1,5.9,4.46,87,Nidhi Solanki,Approved
QC000629,PR20220224364,2022-02-24 07:00:00,76.8,7.9,4.36,86,Harsh Sha,Approved
QC000630,PR20220224582,2022-02-24 03:00:00,76.4,7.6,2.04,89,Yashodhara Agrawal,Approved
QC000636,PR20220225327,2022-02-25 07:00:00,77.6,3.9,4.53,89,Patrick Cheema,Approved
QC000640,PR20220225279,2022-02-25 08:00:00,74.0,7.7,0.58,87,Umang Kibe,Approved
QC000649,PR20220226553,2022-02-26 07:00:00,77.5,3.8,3.97,89,Faris Pradhan,Approved
QC000654,PR20220226699,2022-02-26 07:00:00,75.9,7.5,3.72,99,Zayyan Hari,Approved
QC000657,PR20220226339,2022-02-26 03:00:00,78.1,3.6,0.93,100,Utkarsh Bava,Approved
QC000658,PR20220226653,2022-02-26 05:00:00,78.8,4.1,4.4,93,Faraj Mani,Approved
QC000660,PR20220227383,2022-02-27 07:00:00,73.1,4.5,4.68,94,Lucky Chopra,Approved
QC000661,PR20220227696,2022-02-27 01:00:00,78.7,3.3,2.52,93,Nandini Taneja,Approved
QC000662,PR20220227997,2022-02-27 07:00:00,79.3,3.1,0.98,89,Mugdha Raju,Approved
QC000665,PR20220227173,2022-02-27 06:00:00,77.2,3.5,2.52,100,Chatura Sanghvi,Approved
QC000666,PR20220227848,2022-02-27 01:00:00,76.1,7.3,4.81,91,Gaurang Rau,Approved
QC000670,PR20220227368,2022-02-27 06:00:00,76.1,5.6,3.77,95,Veda Murthy,Approved
QC000674,PR20220228449,2022-02-28 03:00:00,73.5,7.7,0.51,98,Vivaan Mitter,Approved
QC000677,PR20220228940,2022-02-28 06:00:00,72.0,6.1,2.04,97,Pavani Pandya,Approved
QC000682,PR20220228862,2022-02-28 03:00:00,75.2,4.1,2.34,95,Qushi Ganguly,Approved
QC000683,PR20220228866,2022-02-28 02:00:00,78.6,6.5,0.93,88,Triya Viswanathan,Approved
QC000684,PR20220228229,2022-02-28 06:00:00,72.5,5.5,3.79,86,Akshay Sinha,Approved
QC000686,PR20220301354,2022-03-01 06:00:00,77.3,7.3,1.1,96,Dalbir Dara,Approved
QC000687,PR20220301414,2022-03-01 03:00:00,76.8,6.8,4.72,99,Omisha Rana,Rejected
QC000690,PR20220301946,2022-03-01 05:00:00,72.8,4.2,2.1,87,Yochana Jaggi,Approved
QC000701,PR20220302981,2022-03-02 05:00:00,76.3,5.0,4.38,95,Gabriel Bhakta,Approved
QC000702,PR20220302599,2022-03-02 02:00:00,79.6,3.4,3.65,96,Amaira Sangha,Approved
QC000710,PR20220303170,2022-03-03 03:00:00,72.9,7.5,1.14,91,Sudiksha Minhas,Approved
QC000711,PR20220303738,2022-03-03 07:00:00,79.9,5.1,2.22,92,Jeet Kuruvilla,Approved
QC000713,PR20220303948,2022-03-03 06:00:00,76.7,5.0,1.56,96,Gaurav Krishnan,Approved
QC000730,PR20220305307,2022-03-05 05:00:00,77.0,6.6,4.75,94,Qushi Vig,Approved
QC000731,PR20220305878,2022-03-05 03:00:00,75.3,6.5,4.25,86,Caleb Patla,Approved
QC000733,PR20220305624,2022-03-05 02:00:00,78.7,3.2,2.1,98,Yadavi Bhattacharyya,Approved
QC000736,PR20220305719,2022-03-05 04:00:00,72.1,5.8,4.39,95,Azaan Dhawan,Approved
QC000739,PR20220306370,2022-03-06 07:00:00,78.5,7.1,2.08,87,Orinder Desai,Approved
QC000740,PR20220306770,2022-03-06 01:00:00,72.4,3.9,3.52,91,Bhavani Keer,Approved
QC000744,PR20220306202,2022-03-06 03:00:00,73.1,3.6,2.09,85,Thomas Lala,Approved
QC000748,PR20220306576,2022-03-06 08:00:00,72.8,4.6,4.86,99,Banjeet Soman,Approved
QC000754,PR20220307948,2022-03-07 04:00:00,72.2,7.2,4.97,94,Samarth Dixit,Approved
QC000768,PR20220308653,2022-03-08 01:00:00,75.5,7.7,1.68,95,Oliver Narang,Approved
QC000770,PR20220309290,2022-03-09 07:00:00,79.9,7.3,4.48,85,Pallavi Bora,Approved
QC000778,PR20220309701,2022-03-09 04:00:00,73.0,7.4,4.74,88,Isaiah Jhaveri,Approved
QC000779,PR20220309697,2022-03-09 08:00:00,78.6,3.5,0.88,86,David Bajaj,Approved
QC000780,PR20220310284,2022-03-10 03:00:00,74.9,6.5,0.56,93,Amrita Ganesan,Approved
QC000788,PR20220310427,2022-03-10 05:00:00,79.6,5.6,2.11,87,Urmi Saxena,Approved
QC000789,PR20220310924,2022-03-10 02:00:00,76.5,6.6,1.73,85,Bachittar Agrawal,Approved
QC000790,PR20220310850,2022-03-10 07:00:00,74.3,5.3,3.51,100,Umang Sibal,Approved
QC000791,PR20220310590,2022-03-10 06:00:00,77.7,4.6,1.95,96,Faras Devi,Approved
QC000795,PR20220311940,2022-03-11 05:00:00,75.9,5.7,3.42,87,Shravya Ahluwalia,Approved
QC000798,PR20220311151,2022-03-11 06:00:00,76.9,4.9,1.84,100,Aarini Chauhan,Rejected
QC000799,PR20220311943,2022-03-11 04:00:00,74.5,6.2,2.45,92,Chameli Chakrabarti,Rejected
QC000803,PR20220311329,2022-03-11 08:00:00,73.1,3.0,0.63,94,Libni Rajagopal,Approved
QC000804,PR20220311380,2022-03-11 04:00:00,78.9,5.3,3.46,97,Ikshita Bora,Approved
QC000806,PR20220311802,2022-03-11 03:00:00,79.4,3.6,2.51,97,Yasti Parekh,Approved
QC000811,PR20220312103,2022-03-12 02:00:00,76.3,7.2,4.97,87,Balveer Dada,Approved
QC000812,PR20220312192,2022-03-12 07:00:00,77.7,6.2,4.64,93,Idika Mital,Approved
QC000815,PR20220312940,2022-03-12 05:00:00,78.7,7.3,0.51,91,Vasana Saxena,Approved
QC000817,PR20220312891,2022-03-12 05:00:00,76.1,6.9,1.32,86,Ekani Pant,Approved
QC000820,PR20220312591,2022-03-12 03:00:00,78.0,3.0,3.09,97,Anika Vig,Approved
QC000826,PR20220313877,2022-03-13 04:00:00,78.8,5.2,3.83,86,Warhi Khatri,Approved
QC000828,PR20220313471,2022-03-13 03:00:00,76.2,6.2,2.83,93,Rachana Bali,Approved
QC000829,PR20220313522,2022-03-13 08:00:00,75.8,7.2,0.92,100,Nachiket Babu,Approved
QC000831,PR20220313390,2022-03-13 08:00:00,76.7,3.6,3.03,92,Anika Upadhyay,Approved
QC000833,PR20220313197,2022-03-13 03:00:00,79.7,3.3,2.4,87,Krish Sane,Approved
QC000834,PR20220313759,2022-03-13 03:00:00,78.4,4.8,2.84,98,Brijesh Mishra,Approved
QC000843,PR20220314664,2022-03-14 01:00:00,72.9,4.1,3.59,92,Veer Raja,Approved
QC000850,PR20220314246,2022-03-14 03:00:00,78.6,6.2,4.27,92,Radha Palan,Approved
QC000858,PR20220315324,2022-03-15 07:00:00,76.8,7.1,4.92,93,Upma Prabhakar,Rejected
QC000859,PR20220315736,2022-03-15 07:00:00,72.7,5.4,1.35,91,Raagini Ramaswamy,Approved
QC000863,PR20220316647,2022-03-16 02:00:00,75.7,5.5,3.3,87,Dhriti Mahajan,Approved
QC000864,PR20220316867,2022-03-16 04:00:00,75.5,4.6,0.69,87,Chaitanya Basu,Approved
QC000866,PR20220316967,2022-03-16 03:00:00,72.3,3.9,2.52,100,Ganga Mani,Approved
QC000867,PR20220316815,2022-03-16 05:00:00,75.3,4.0,4.2,98,Victor Rana,Approved
QC000868,PR20220316178,2022-03-16 06:00:00,77.5,4.7,4.09,89,Lucky Boase,Approved
QC000871,PR20220316692,2022-03-16 01:00:00,79.9,4.2,2.13,100,Chakradev Roy,Approved
QC000872,PR20220316115,2022-03-16 02:00:00,79.9,3.7,0.85,94,Yashoda Bora,Approved
QC000894,PR20220318534,2022-03-18 04:00:00,76.2,5.3,0.85,98,Triya Bobal,Approved
QC000896,PR20220318307,2022-03-18 03:00:00,74.3,5.1,4.2,87,Logan Raghavan,Rejected
QC000899,PR20220319314,2022-03-19 08:00:00,77.7,7.6,2.0,94,Yahvi Arora,Approved
